sub_id,in_behavior,in_mrlist,sharedreward_run1,sharedreward_run2,trust_run0,trust_run1,ugr_run0,ugr_run1,doors_run1,socialdoors_run1
10160,TRUE,FALSE,81,0,36,36,NA,NA,80,80
10296,TRUE,FALSE,0,0,NA,NA,NA,NA,NA,NA
10319,TRUE,FALSE,0,0,NA,NA,NA,NA,NA,NA
10659,TRUE,FALSE,54,54,42,42,48,48,80,80
10774,TRUE,FALSE,54,54,42,42,NA,NA,80,80
10808,TRUE,FALSE,0,54,NA,NA,NA,NA,NA,NA
11207,TRUE,FALSE,54,54,42,42,48,48,80,80
11217,TRUE,FALSE,0,0,42,0,48,48,NA,NA
11377,TRUE,FALSE,54,54,42,42,48,48,80,80
11433,TRUE,FALSE,54,54,42,42,48,48,80,80
11526,TRUE,FALSE,54,54,42,42,48,48,80,80
11532,TRUE,FALSE,109,0,42,42,48,48,80,80
11535,TRUE,FALSE,54,54,42,42,48,48,80,80
11542,TRUE,FALSE,54,54,42,42,48,48,80,80
11560,TRUE,FALSE,54,54,42,42,48,48,80,80
11563,TRUE,FALSE,54,54,42,42,48,48,80,80
11572,TRUE,FALSE,54,54,42,42,48,48,80,80
11579,TRUE,FALSE,54,54,42,42,48,48,80,80
11586,TRUE,FALSE,54,0,42,0,48,0,80,80
11591,TRUE,FALSE,54,54,42,42,48,48,80,80
11600,TRUE,FALSE,54,54,42,42,48,48,80,80
11603,TRUE,FALSE,54,54,42,42,48,48,80,80
11565,TRUE,FALSE,NA,NA,42,42,48,48,80,80
11407,TRUE,FALSE,NA,NA,NA,NA,48,48,NA,NA
10050,TRUE,FALSE,NA,NA,NA,NA,NA,NA,80,80
10386,TRUE,FALSE,NA,NA,NA,NA,NA,NA,80,0
10876,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,80
11353,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,0
11344,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
11385,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
